SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass
542,6,FALSE,1050,5993,-23,0.114,1,FALSE,0.144,0.27,0.2018,0.251,22,26,455,50,65,450,37000
544,6,FALSE,1050,5993,-23,0.114,1,FALSE,0.144,0.27,0.2018,0.251,22,26,455,50,65,450,37000
547,6,FALSE,1050,5993,-23,0.114,1,FALSE,0.144,0.27,0.2018,0.251,22,26,455,50,65,450,37000
549,6,FALSE,1050,5993,-23,0.114,1,FALSE,0.144,0.27,0.2018,0.251,22,26,455,50,65,450,37000
602,6,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26,25,294,49,43,450,8000
603,6,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26,25,294,49,43,450,8000
604,6,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26,25,294,49,43,450,8000
605,6,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26,25,294,49,43,450,8000
606,6,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26,25,294,49,43,450,8000
631,6,FALSE,900,3150,2,0.8,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,75,30000
730,6,FALSE,1926,5482,-7,0.12,1,FALSE,0.219,0.27,0.2018,0.251,21,26,365,50,65,220,37000
732,6,FALSE,1926,5482,-7,0.12,1,FALSE,0.219,0.27,0.2018,0.251,21,26,365,50,65,220,37000
742,7,FALSE,600,3200,-10,0.82,1,TRUE,0.18,0.2,0.25,0.25,62,62,333,222,100,70,10000
745,7,FALSE,600,3200,-10,0.82,1,TRUE,0.18,0.2,0.25,0.25,62,62,333,222,100,70,10000
746,7,FALSE,1457,5113,-12,0.28,1,TRUE,0.114,0.27,0.202,0.251,23,26,189,50,65,70,10000
747,7,FALSE,900,5000,-7,0.4,1,TRUE,0.18,0.15,0.28,0.32,22,25,200,80,28,70,15000
748,7,FALSE,600,3200,-10,0.82,1,TRUE,0.18,0.2,0.25,0.25,62,62,333,222,100,70,10000
749,7,FALSE,600,3200,-10,0.82,1,TRUE,0.18,0.2,0.25,0.25,62,62,333,222,100,70,10000
763,6,FALSE,2132,5993,-10,0.3,1,FALSE,0.175,0.27,0.2,0.251,18,25,108,49,65,380,17000
766,6,FALSE,2132,5993,-10,0.3,1,FALSE,0.175,0.27,0.2,0.251,18,25,108,49,65,380,17000
768,6,FALSE,2132,5993,-10,0.3,1,FALSE,0.175,0.27,0.2,0.251,18,25,108,49,65,380,17000
801,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
803,8,FALSE,700,4250,0,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,293,30000
805,8,FALSE,700,4250,0,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,293,30000
807,8,FALSE,700,3950,0,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,293,30000
810,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
811,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
814,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
815,8,FALSE,700,3950,0,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,293,30000
818,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,293,30000
821,8,FALSE,850,3950,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
823,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
826,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
827,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
829,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
834,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
835,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,380,20000
838,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
839,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
843,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
846,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
847,8,FALSE,850,4250,-1,0.95,1,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,60,293,30000
901,6,FALSE,1910,690,-2,0.3,1,FALSE,0.336,0.255,0.255,0.255,25,45,90,90,55,255,6000
972,6,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26,25,294,49,43,450,8000
973,6,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26,25,294,49,43,450,8000
974,6,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26,25,294,49,43,450,8000
975,6,FALSE,1910,4571,-8,0.3,1,FALSE,0.187,0.24,0.2,0.251,26,25,294,49,43,450,8000
981,8,FALSE,900,4000,0,0.7,3,TRUE,0.18,0.22,0.28,0.32,27,30,400,80,33,60,15000
3,13,FALSE,500,4250,0,0.98,2,FALSE,0.15,0.11,0.19,0.32,43,50,400,325,67,185,2900
5,13,TRUE,500,4250,0,0.98,2,FALSE,0.15,0.11,0.19,0.32,43,50,400,325,67,185,2400
4,14,TRUE,400,4000,0,0.97,1,FALSE,0.28,0,0,0,10,10,26,5,5,185,2000
73,5,FALSE,280,2660,-8,0.43,4,FALSE,0.28,0.22,0.28,0.28,20,43,600,84,74,27,41000
