Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,
1, 9, eco9, 9, 336263, 0, 21.1, 0, 3.59, 3.56, 3.59, 0, 0, 0, 
1, 9, eco10, 10, 254883, 0, 22.6, 0.04, 5.59, 5.2, 5.56, 0, 0, 0, 
1, 10, eco1, 1, 472775, 3.2, 15.1, 5.61, 48.15, 48.93, 42.54, 0, 0.01, 1.32, 
1, 10, eco2, 2, 369410, 2.4, 21.5, 0.01, 6.52, 6.41, 6.51, 0, 0.01, 0.83, 
1, 10, eco3, 3, 292243, 1, 16.3, 2.65, 18.21, 18.65, 15.56, 0, 0, 0.49, 
1, 10, eco4, 4, 482063, 1.1, 16.4, 4.08, 9.83, 9.78, 5.75, 0, 0, 0.63, 
1, 10, eco5, 5, 279971, 3.4, 12.8, 10.25, 63.85, 53.04, 53.6, 0, 0, 1.92, 
1, 10, eco6, 6, 936093, 1.8, 17.1, 0.95, 16.91, 17.05, 15.96, 0, 0, 0.89, 
1, 10, eco7, 7, 521671, 1.3, 19.8, 2.58, 12.14, 12.49, 9.56, 0, 0, 0.57, 
1, 10, eco8, 8, 580739, 0.4, 17.2, 0.12, 8.93, 8.92, 8.81, 0, 0, 0.22, 
1, 10, eco9, 9, 336263, 2.2, 13.8, 5.04, 12.11, 13.25, 7.06, 0, 0.01, 0.72, 
1, 10, eco10, 10, 254883, 1.3, 19.4, 5.42, 9.79, 10.11, 4.37, 0, 0, 0.6, 
1, 11, eco1, 1, 472775, 6.9, 11.7, 13.73, 95.34, 97.23, 81.61, 0.01, 0.12, 2.74, 
1, 11, eco2, 2, 369410, 0.9, 16.4, 1.9, 9.96, 10.24, 8.06, 0, 0, 0.96, 
1, 11, eco3, 3, 292243, 3.3, 12.7, 11.95, 167.83, 168.57, 155.88, 0, 0, 1.85, 
1, 11, eco4, 4, 482063, 7.9, 12.8, 16.11, 100.6, 92.98, 84.49, 0.01, 0.04, 3.63, 
1, 11, eco5, 5, 279971, 7, 10.2, 9.49, 80.86, 63.93, 71.37, 0.01, 0.05, 3.96, 
1, 11, eco6, 6, 936093, 2.9, 13.5, 7.58, 81.39, 82.75, 73.81, 0, 0.01, 1.76, 
1, 11, eco7, 7, 521671, 4.2, 17.4, 4.97, 98.8, 97.3, 93.82, 0, 0.04, 1.37, 
1, 11, eco8, 8, 580739, 0.9, 12.3, 2.08, 22.39, 22.8, 20.31, 0, 0, 0.61, 
1, 11, eco9, 9, 336263, 6.5, 10.6, 13.45, 50.11, 52.97, 36.66, 0.01, 0.1, 1.62, 
1, 11, eco10, 10, 254883, 5, 16.7, 6.66, 102.07, 92.46, 95.41, 0.01, 0.03, 1.84, 
1, 12, eco1, 1, 472775, 5.1, 8, 5.06, 44.34, 44.3, 39.28, 0.01, 0.1, 3.84, 
1, 12, eco2, 2, 369410, 2.9, 12.3, 11.42, 23.59, 25.93, 12.17, 0, 0.03, 1.63, 
1, 12, eco3, 3, 292243, 5.7, 8.4, 5.43, 93.86, 92.93, 88.43, 0.01, 0.02, 4.83, 
1, 12, eco4, 4, 482063, 6.8, 9.3, 9.95, 47.03, 39.92, 37.08, 0.01, 0.06, 5.42, 
1, 12, eco5, 5, 279971, 5.8, 6.5, 2.17, 40.95, 25.15, 38.78, 0.01, 0.05, 5.38, 
1, 12, eco6, 6, 936093, 6.7, 10.1, 7.26, 45.09, 46.38, 37.83, 0.01, 0.08, 3.67, 
1, 12, eco7, 7, 521671, 4.6, 14, 10.14, 95.26, 94.06, 85.12, 0.01, 0.08, 2.4, 
1, 12, eco8, 8, 580739, 3.9, 7.9, 1.74, 70.41, 70.4, 68.67, 0, 0.03, 2.56, 
1, 12, eco9, 9, 336263, 8.7, 6.2, 1.7, 13.38, 13.48, 11.68, 0.01, 0.16, 2.9, 
1, 12, eco10, 10, 254883, 7.1, 13.1, 6.09, 74.9, 64.04, 68.81, 0.01, 0.11, 3.57, 
1, 1, eco1, 1, 472775, 9.5, 10.6, 11.95, 45.98, 47.27, 34.03, 0.01, 0.37, 3.96, 
1, 1, eco2, 2, 369410, 3.2, 15.3, 5.94, 22.18, 23.1, 16.24, 0, 0.04, 1.54, 
1, 1, eco3, 3, 292243, 4.8, 11, 10.27, 117.72, 117.43, 107.45, 0.01, 0.03, 5.93, 
1, 1, eco4, 4, 482063, 9.1, 12.1, 14.46, 57.19, 49.12, 42.73, 0.01, 0.15, 5.83, 
1, 1, eco5, 5, 279971, 9.8, 9.2, 5.41, 50.8, 31.72, 45.38, 0.01, 0.16, 5.28, 
1, 1, eco6, 6, 936093, 5.1, 12.6, 8.31, 59.34, 60.77, 51.03, 0.01, 0.09, 3.88, 
1, 1, eco7, 7, 521671, 5.3, 16.1, 5.05, 85.92, 82.66, 80.87, 0.01, 0.16, 2.65, 
1, 1, eco8, 8, 580739, 2.8, 10.3, 4.08, 89.28, 89.76, 85.2, 0, 0.03, 2.93, 
1, 1, eco9, 9, 336263, 9.5, 8.8, 8.42, 22.54, 24.21, 14.12, 0.01, 0.29, 2.7, 
1, 1, eco10, 10, 254883, 7.4, 15.6, 5.03, 78.04, 63.31, 73.01, 0.01, 0.18, 3.72, 
1, 2, eco1, 1, 472775, 1.5, 7.9, 4.1, 27.44, 27.38, 23.34, 0, 0, 3.75, 
1, 2, eco2, 2, 369410, 0.2, 13.7, 5.44, 7.25, 8.34, 1.81, 0, 0, 1.33, 
1, 2, eco3, 3, 292243, 0.9, 8.4, 5.32, 73.02, 71.83, 67.7, 0, 0, 5.13, 
1, 2, eco4, 4, 482063, 3.1, 9.3, 9.83, 42.05, 34.66, 32.22, 0, 0.01, 5.83, 
1, 2, eco5, 5, 279971, 1.7, 6.1, 1.75, 40.22, 23.87, 38.47, 0, 0, 4.53, 
1, 2, eco6, 6, 936093, 1.5, 9.8, 6.36, 31.63, 32.74, 25.28, 0, 0, 3.65, 
1, 2, eco7, 7, 521671, 1.1, 14, 6.33, 35.25, 33.84, 28.92, 0, 0, 2.65, 
1, 2, eco8, 8, 580739, 0.7, 8.6, 2.39, 53.87, 54.04, 51.48, 0, 0, 2.66, 
1, 2, eco9, 9, 336263, 1.9, 6, 1.32, 15.21, 15.27, 13.88, 0, 0, 3.08, 
1, 2, eco10, 10, 254883, 2.7, 13.2, 5.8, 48.04, 37.01, 42.24, 0, 0, 3.77, 
1, 3, eco1, 1, 472775, 11.3, 9.1, 8.4, 28.75, 29.07, 20.35, 0.01, 0.4, 4.21, 
1, 3, eco2, 2, 369410, 0.9, 16.4, 2.02, 5.37, 5.65, 3.35, 0, 0, 1.5, 
1, 3, eco3, 3, 292243, 11.7, 9.7, 8.25, 39.84, 38.99, 31.59, 0.01, 0.11, 9.04, 
1, 3, eco4, 4, 482063, 7.2, 10.7, 13.44, 45.09, 37.16, 31.65, 0.01, 0.12, 6.14, 
1, 3, eco5, 5, 279971, 10.3, 7.7, 3.33, 43.47, 23.67, 40.14, 0.01, 0.16, 5.61, 
1, 3, eco6, 6, 936093, 2.5, 11.5, 8.49, 36.03, 37.57, 27.54, 0, 0.02, 3.43, 
1, 3, eco7, 7, 521671, 7.3, 14.5, 9.03, 59.87, 57.09, 50.84, 0.01, 0.36, 3.11, 
1, 3, eco8, 8, 580739, 6.3, 11, 4.45, 56.09, 56.66, 51.64, 0.01, 0.17, 3.91, 
1, 3, eco9, 9, 336263, 15.9, 7.3, 3.91, 8.81, 9.4, 4.89, 0.02, 0.32, 2.15, 
1, 3, eco10, 10, 254883, 4.7, 14.5, 5.55, 58.41, 42.58, 52.86, 0.01, 0.09, 3.52, 
1, 4, eco1, 1, 472775, 0.5, 13.6, 6.19, 24.87, 25.38, 18.68, 0, 0, 3.33, 
1, 4, eco2, 2, 369410, 0, 21.6, 0, 1.53, 1.47, 1.53, 0, 0, 1.2, 
1, 4, eco3, 3, 292243, 0, 14.1, 8.82, 94.02, 92.72, 85.21, 0, 0, 6.96, 
1, 4, eco4, 4, 482063, 0.2, 14.7, 8.81, 42.61, 33.97, 33.8, 0, 0, 4.76, 
1, 4, eco5, 5, 279971, 0.1, 12.6, 8.6, 50.03, 32.69, 41.42, 0, 0, 4.16, 
1, 4, eco6, 6, 936093, 0.1, 15.6, 2.46, 17.72, 18.01, 15.26, 0, 0, 2.77, 
1, 4, eco7, 7, 521671, 0.1, 16.7, 3.58, 19.37, 17.71, 15.79, 0, 0, 2.55, 
1, 4, eco8, 8, 580739, 0.2, 16.1, 1.42, 34.93, 34.91, 33.51, 0, 0, 3.19, 
1, 4, eco9, 9, 336263, 0, 12.6, 5.19, 10.18, 11.3, 4.98, 0, 0, 1.56, 
1, 4, eco10, 10, 254883, 0.2, 17.3, 5.06, 24.64, 18.17, 19.57, 0, 0, 2.94, 
1, 5, eco1, 1, 472775, 2.3, 14.2, 6.9, 25.44, 25.86, 18.54, 0, 0, 3.33, 
1, 5, eco2, 2, 369410, 0.1, 23.7, 0, 1.25, 1.2, 1.25, 0, 0, 1, 
1, 5, eco3, 3, 292243, 0.4, 15.4, 6.58, 71.41, 69.62, 64.83, 0, 0, 5.77, 
1, 5, eco4, 4, 482063, 0.4, 15.8, 6.27, 32.55, 24.03, 26.28, 0, 0, 3.99, 
1, 5, eco5, 5, 279971, 1, 14.2, 8.03, 41.18, 26.18, 33.15, 0, 0, 3.81, 
1, 5, eco6, 6, 936093, 0, 16.9, 1.1, 8.69, 8.77, 7.6, 0, 0, 2.24, 
1, 5, eco7, 7, 521671, 0.4, 17, 3.31, 13.62, 12.38, 10.31, 0, 0, 2.25, 
1, 5, eco8, 8, 580739, 0, 18.5, 0.45, 13.83, 13.75, 13.38, 0, 0, 2.56, 
1, 5, eco9, 9, 336263, 1.1, 14.4, 3.54, 8.84, 9.56, 5.31, 0, 0, 1.77, 
1, 5, eco10, 10, 254883, 0.5, 17.6, 5.15, 17.82, 12.71, 12.67, 0, 0, 2.61, 
1, 6, eco1, 1, 472775, 0, 20.1, 0.97, 10.83, 10.44, 9.86, 0, 0, 2.67, 
1, 6, eco2, 2, 369410, 0, 29.1, 0, 1.35, 1.29, 1.35, 0, 0, 0.8, 
1, 6, eco3, 3, 292243, 0, 21.6, 2.37, 35.56, 34.14, 33.19, 0, 0, 4.62, 
1, 6, eco4, 4, 482063, 0, 21.3, 2.73, 19.18, 12.79, 16.45, 0, 0, 3.19, 
1, 6, eco5, 5, 279971, 0, 20.4, 5.52, 21.48, 13.41, 15.96, 0, 0, 3.05, 
1, 6, eco6, 6, 936093, 0, 22.4, 0.26, 4.45, 4.41, 4.19, 0, 0, 1.79, 
1, 6, eco7, 7, 521671, 0, 19.9, 2.22, 7, 6.39, 4.78, 0, 0, 1.8, 
1, 6, eco8, 8, 580739, 0, 24.4, 0.21, 7.34, 7.29, 7.13, 0, 0, 2.05, 
1, 6, eco9, 9, 336263, 0, 20.6, 0.03, 5.06, 4.97, 5.03, 0, 0, 1.41, 
1, 6, eco10, 10, 254883, 0, 20.8, 4.27, 9.18, 6.55, 4.91, 0, 0, 2.09, 
2, 7, eco1, 1, 472775, 0.7, 24.2, 0.86, 8.23, 7.88, 7.38, 0, 0, 2.32, 
2, 7, eco2, 2, 369410, 0.4, 32.1, 0, 1.59, 1.52, 1.59, 0, 0, 0.72, 
2, 7, eco3, 3, 292243, 0.2, 26.2, 1.83, 18.83, 18.03, 17, 0, 0, 3.77, 
2, 7, eco4, 4, 482063, 0.9, 25.4, 2.37, 13.59, 9.17, 11.22, 0, 0, 2.99, 
2, 7, eco5, 5, 279971, 0.8, 23.4, 5.26, 18.02, 10.87, 12.76, 0, 0, 2.82, 
2, 7, eco6, 6, 936093, 1.1, 26.1, 0.24, 5, 4.94, 4.75, 0, 0, 1.93, 
2, 7, eco7, 7, 521671, 0.2, 22.7, 1.84, 5.13, 4.64, 3.29, 0, 0, 1.54, 
2, 7, eco8, 8, 580739, 0.3, 28.6, 0.14, 7.01, 6.95, 6.87, 0, 0, 1.8, 
2, 7, eco9, 9, 336263, 0.6, 24.2, 0, 4.21, 4.11, 4.21, 0, 0, 1.4, 
2, 7, eco10, 10, 254883, 0.3, 23.8, 3.61, 7.37, 5.05, 3.75, 0, 0, 1.82, 
2, 8, eco1, 1, 472775, 0.9, 23.7, 0.91, 7.8, 7.44, 6.89, 0, 0, 2.14, 
2, 8, eco2, 2, 369410, 2.2, 31.1, 0, 2.06, 1.97, 2.06, 0, 0.01, 0.6, 
2, 8, eco3, 3, 292243, 0.1, 25.3, 1.91, 15.28, 14.65, 13.37, 0, 0, 3.07, 
2, 8, eco4, 4, 482063, 4.1, 24.7, 3.06, 27.6, 18.62, 24.53, 0, 0.01, 3.12, 
2, 8, eco5, 5, 279971, 3.6, 22.6, 6.34, 37.71, 21.54, 31.37, 0, 0.01, 2.8, 
2, 8, eco6, 6, 936093, 3.8, 25.8, 0.34, 10.7, 10.52, 10.36, 0, 0.02, 1.8, 
2, 8, eco7, 7, 521671, 0, 23.3, 1.64, 4.51, 4.06, 2.87, 0, 0, 1.25, 
2, 8, eco8, 8, 580739, 0.5, 27.2, 0.17, 6.58, 6.53, 6.41, 0, 0, 1.67, 
2, 8, eco9, 9, 336263, 1, 23.2, 0, 4.44, 4.34, 4.44, 0, 0, 1.61, 
2, 8, eco10, 10, 254883, 0.2, 25.2, 3.11, 6.93, 4.55, 3.82, 0, 0, 1.55, 
2, 9, eco1, 1, 472775, 0.2, 21.9, 0.92, 6.42, 6.12, 5.51, 0, 0, 1.81, 
2, 9, eco2, 2, 369410, 0.3, 29.4, 0, 1.38, 1.32, 1.38, 0, 0, 0.6, 
2, 9, eco3, 3, 292243, 0.1, 23.8, 2.06, 13.62, 13.06, 11.56, 0, 0, 2.5, 
2, 9, eco4, 4, 482063, 0.2, 22.9, 2.32, 15.77, 10.08, 13.46, 0, 0, 2.61, 
2, 9, eco5, 5, 279971, 0.3, 20.9, 4.65, 21.5, 11.87, 16.85, 0, 0, 2.38, 
2, 9, eco6, 6, 936093, 0.7, 23.8, 0.26, 5.37, 5.28, 5.12, 0, 0, 1.77, 
2, 9, eco7, 7, 521671, 0, 21.5, 1.76, 4.12, 3.72, 2.37, 0, 0, 1, 
2, 9, eco8, 8, 580739, 0.2, 25.5, 0.19, 5.85, 5.8, 5.65, 0, 0, 1.43, 
2, 9, eco9, 9, 336263, 0.5, 21.4, 0.01, 4.13, 4.03, 4.12, 0, 0, 1.43, 
2, 9, eco10, 10, 254883, 0, 23, 3.46, 6.46, 4.26, 3.01, 0, 0, 1.27, 
2, 10, eco1, 1, 472775, 0.4, 18.1, 1.43, 6.78, 6.52, 5.35, 0, 0, 1.63, 
2, 10, eco2, 2, 369410, 0, 24.8, 0, 1.08, 1.03, 1.08, 0, 0, 0.48, 
2, 10, eco3, 3, 292243, 0.6, 19.5, 2.68, 15.87, 15.17, 13.19, 0, 0, 2.28, 
2, 10, eco4, 4, 482063, 0.2, 19.8, 2.7, 15.57, 9.87, 12.87, 0, 0, 2.2, 
2, 10, eco5, 5, 279971, 0.1, 16.8, 5.14, 21.5, 11.73, 16.36, 0, 0, 1.95, 
2, 10, eco6, 6, 936093, 0, 20.3, 0.31, 4.32, 4.26, 4.01, 0, 0, 1.42, 
2, 10, eco7, 7, 521671, 0.2, 20.3, 1.91, 4.03, 3.65, 2.12, 0, 0, 0.88, 
2, 10, eco8, 8, 580739, 0.2, 20.4, 0.29, 5.17, 5.15, 4.88, 0, 0, 1.24, 
2, 10, eco9, 9, 336263, 0.5, 17, 0.9, 4.07, 4.19, 3.17, 0, 0, 1.18, 
2, 10, eco10, 10, 254883, 0, 20.8, 3.68, 5.94, 3.93, 2.26, 0, 0, 1.02, 
2, 11, eco1, 1, 472775, 3.8, 9, 8.53, 31.86, 31.1, 23.33, 0, 0.09, 2.64, 
2, 11, eco2, 2, 369410, 1.9, 14.1, 7.12, 8.48, 9.83, 1.36, 0, 0.01, 1.04, 
2, 11, eco3, 3, 292243, 1.9, 9.2, 8.45, 49.7, 47.58, 41.25, 0, 0, 2.71, 
2, 11, eco4, 4, 482063, 3.7, 10.2, 14.24, 41.45, 30.8, 27.22, 0, 0.03, 3.56, 
2, 11, eco5, 5, 279971, 4.5, 7.2, 4.97, 60.51, 30.97, 55.54, 0, 0.03, 3.92, 
2, 11, eco6, 6, 936093, 1.8, 11, 7.69, 15.95, 17.28, 8.26, 0, 0, 1.89, 
2, 11, eco7, 7, 521671, 2, 14.7, 8.12, 20.15, 17.81, 12.03, 0, 0.01, 1.49, 
2, 11, eco8, 8, 580739, 1.9, 9.1, 3.19, 29.66, 29.89, 26.46, 0, 0.02, 1.86, 
2, 11, eco9, 9, 336263, 3.2, 7.2, 3.56, 18.69, 19.1, 15.13, 0, 0.07, 1.9, 
2, 11, eco10, 10, 254883, 3, 14.5, 7.49, 51.11, 28.65, 43.62, 0, 0.02, 1.9, 
2, 12, eco1, 1, 472775, 9.7, 6.9, 2.69, 11.47, 9.53, 8.78, 0.01, 0.22, 4.3, 
2, 12, eco2, 2, 369410, 1.1, 11.3, 10.09, 7.41, 9.48, -2.68, 0, 0, 1.19, 
2, 12, eco3, 3, 292243, 4.6, 7.2, 2.85, 26.43, 23.25, 23.57, 0.01, 0.03, 4.93, 
2, 12, eco4, 4, 482063, 5.9, 8.4, 6.88, 29.22, 17.83, 22.35, 0.01, 0.08, 5.24, 
2, 12, eco5, 5, 279971, 8.5, 5.5, 1.61, 42.19, 14.15, 40.58, 0.01, 0.04, 5.79, 
2, 12, eco6, 6, 936093, 2.9, 9, 5.22, 17.99, 18.59, 12.77, 0, 0.03, 2.84, 
2, 12, eco7, 7, 521671, 3.3, 12.6, 12.45, 39.71, 34.68, 27.26, 0, 0.09, 2.04, 
2, 12, eco8, 8, 580739, 2.6, 7.1, 1.07, 17.43, 17.2, 16.36, 0, 0.03, 2.79, 
2, 12, eco9, 9, 336263, 10.1, 5, 0.58, 4.82, 4.56, 4.25, 0.01, 0.16, 2.92, 
2, 12, eco10, 10, 254883, 2.7, 11.9, 6.12, 56.44, 30.17, 50.32, 0, 0.02, 2.43, 
2, 1, eco1, 1, 472775, 0.5, 11, 8.28, 16.44, 16.46, 8.15, 0, 0, 3.44, 
2, 1, eco2, 2, 369410, 0.6, 15.8, 2.51, 2.95, 3.35, 0.44, 0, 0, 1.16, 
2, 1, eco3, 3, 292243, 0, 12.1, 9.93, 46.79, 44.27, 36.85, 0, 0, 3.92, 
2, 1, eco4, 4, 482063, 1, 12.3, 12.69, 38.66, 27.12, 25.97, 0, 0, 4.27, 
2, 1, eco5, 5, 279971, 1.1, 10.2, 6.55, 75.29, 38.72, 68.75, 0, 0.05, 4.59, 
2, 1, eco6, 6, 936093, 0.3, 12.9, 6.04, 12.65, 13.6, 6.62, 0, 0, 2.43, 
2, 1, eco7, 7, 521671, 0.1, 16.7, 1.78, 10.82, 8.22, 9.04, 0, 0, 1.69, 
2, 1, eco8, 8, 580739, 0.1, 11.3, 3.99, 20.59, 21.08, 16.61, 0, 0, 2.23, 
2, 1, eco9, 9, 336263, 0.5, 9.8, 6.04, 7.51, 8.74, 1.47, 0, 0, 2.37, 
2, 1, eco10, 10, 254883, 0.2, 15.8, 4.14, 24.81, 13.08, 20.67, 0, 0, 2.05, 
2, 2, eco1, 1, 472775, 17.8, 6.9, 2.57, 8.94, 6.81, 6.37, 0.02, 0.37, 4.25, 
2, 2, eco2, 2, 369410, 4.7, 12.4, 11.1, 7.68, 9.84, -3.42, 0.01, 0.08, 1.83, 
2, 2, eco3, 3, 292243, 14.7, 7.1, 2.81, 13.51, 10.16, 10.7, 0.02, 0.17, 10.06, 
2, 2, eco4, 4, 482063, 15.5, 8.6, 7.51, 21.5, 9.77, 14, 0.02, 0.19, 6.57, 
2, 2, eco5, 5, 279971, 16.2, 5.3, 1.52, 39.31, 10.48, 37.78, 0.02, 0.11, 6.9, 
2, 2, eco6, 6, 936093, 10.3, 9.2, 5.59, 6.5, 7.14, 0.9, 0.01, 0.17, 4.55, 
2, 2, eco7, 7, 521671, 12.8, 13.3, 11.49, 34.88, 28.28, 23.38, 0.01, 0.67, 3.44, 
2, 2, eco8, 8, 580739, 11.1, 7.6, 1.44, 6.04, 5.87, 4.6, 0.01, 0.15, 5.34, 
2, 2, eco9, 9, 336263, 21.4, 4.8, 0.44, 4.29, 3.98, 3.85, 0.02, 0.36, 1.9, 
2, 2, eco10, 10, 254883, 12, 12.7, 6.17, 57.86, 25.77, 51.69, 0.01, 0.31, 3.98, 
2, 3, eco1, 1, 472775, 12.9, 10.1, 10.8, 21.78, 20.98, 10.98, 0.01, 0.52, 4.23, 
2, 3, eco2, 2, 369410, 2.2, 16.6, 2.47, 4.81, 4.98, 2.34, 0, 0.01, 1.52, 
2, 3, eco3, 3, 292243, 8.5, 11.1, 10.28, 31.43, 28.67, 21.15, 0.01, 0.19, 10.33, 
2, 3, eco4, 4, 482063, 8.5, 11.2, 13.97, 37.4, 24.71, 23.43, 0.01, 0.16, 6.68, 
2, 3, eco5, 5, 279971, 11, 8.7, 4.64, 54.8, 19.32, 50.15, 0.01, 0.29, 4.95, 
2, 3, eco6, 6, 936093, 4.8, 11.8, 8.46, 17.14, 18.37, 8.68, 0.01, 0.09, 4.37, 
2, 3, eco7, 7, 521671, 7.7, 15.2, 7.01, 39.94, 31.39, 32.93, 0.01, 0.27, 3.62, 
2, 3, eco8, 8, 580739, 3.9, 12, 4.46, 23.53, 23.95, 19.07, 0, 0.06, 4.98, 
2, 3, eco9, 9, 336263, 11.7, 8.8, 8.26, 13.98, 15.45, 5.72, 0.01, 0.37, 2.67, 
2, 3, eco10, 10, 254883, 5.9, 15, 5.3, 69.07, 34.65, 63.77, 0.01, 0.1, 3.74, 
2, 4, eco1, 1, 472775, 6.7, 9, 8.7, 21.89, 20.72, 13.19, 0.01, 0.19, 4.8, 
2, 4, eco2, 2, 369410, 0.7, 16.7, 1.33, 1.85, 1.96, 0.52, 0, 0, 1.43, 
2, 4, eco3, 3, 292243, 4.1, 9.1, 8.09, 25.92, 23.18, 17.83, 0, 0.02, 9.8, 
2, 4, eco4, 4, 482063, 6.3, 10.2, 14.26, 34.64, 22.87, 20.38, 0.01, 0.1, 6.78, 
2, 4, eco5, 5, 279971, 5.9, 7.6, 5.47, 62.57, 29.1, 57.09, 0.01, 0.06, 5.85, 
2, 4, eco6, 6, 936093, 2.8, 10.9, 8.17, 13.2, 14.43, 5.04, 0, 0.01, 4.06, 
2, 4, eco7, 7, 521671, 3.8, 14.1, 10.39, 25.98, 20.62, 15.59, 0, 0.02, 3.71, 
2, 4, eco8, 8, 580739, 3, 10.8, 4.5, 18.42, 18.89, 13.92, 0, 0.03, 4.71, 
2, 4, eco9, 9, 336263, 6.4, 7.1, 3.44, 11.8, 12.14, 8.36, 0.01, 0.17, 3.36, 
2, 4, eco10, 10, 254883, 4.8, 14.2, 7.66, 64.28, 32.26, 56.62, 0.01, 0.05, 3.61, 
2, 5, eco1, 1, 472775, 2.1, 15.8, 4.3, 14.57, 13.34, 10.27, 0, 0, 3.26, 
2, 5, eco2, 2, 369410, 0.1, 24, 0, 0.67, 0.59, 0.67, 0, 0, 1.18, 
2, 5, eco3, 3, 292243, 2.8, 16.2, 5.77, 49.77, 44.54, 44, 0, 0, 7.81, 
2, 5, eco4, 4, 482063, 3.1, 16.8, 6.24, 41.7, 26.19, 35.46, 0, 0.01, 4.86, 
2, 5, eco5, 5, 279971, 1.9, 15.3, 8.35, 69.71, 36.23, 61.36, 0, 0, 3.79, 
2, 5, eco6, 6, 936093, 2.5, 17.3, 1.51, 10.57, 10.26, 9.06, 0, 0.01, 3.12, 
2, 5, eco7, 7, 521671, 2.3, 17, 4.52, 18.85, 13.7, 14.33, 0, 0.01, 3.34, 
2, 5, eco8, 8, 580739, 1.4, 18.9, 0.54, 14.77, 14.36, 14.23, 0, 0, 3.78, 
2, 5, eco9, 9, 336263, 5.2, 15.3, 6.02, 13.05, 13.96, 7.02, 0.01, 0.1, 1.76, 
2, 5, eco10, 10, 254883, 1.3, 17.8, 5.71, 31.14, 16.04, 25.43, 0, 0, 3.43, 
2, 6, eco1, 1, 472775, 1.1, 18.7, 1.39, 7.83, 6.79, 6.44, 0, 0, 2.75, 
2, 6, eco2, 2, 369410, 0, 27.5, 0, 0.65, 0.59, 0.65, 0, 0, 0.95, 
